h

h
<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
9 58 41 187 20029 
9 58 56 186 20029 
9 59 11 187 20029 
9 59 50 187 20029 
10 0 5 186 20029 
10 0 20 187 20029 
10 0 35 186 20029 
10 0 50 187 20029 
10 1 5 187 20029 
10 1 20 186 20029 
10 1 35 187 20029 
10 1 50 186 20029 
10 2 5 187 20029 
10 2 20 186 20029 
10 2 35 187 20029 
10 2 50 186 20029 
10 3 5 187 20029 
10 3 20 186 20029 
10 3 35 187 20029 
10 3 50 186 20029 
10 4 5 187 20029 
10 4 20 186 20029 
10 4 35 187 20029 
10 4 50 186 20029 
10 5 5 187 20029 
10 5 20 186 20029 
10 5 35 187 20029 
10 5 50 186 20029 
10 6 5 187 20029 
10 6 20 186 20029 
10 6 35 187 20029 
10 6 50 186 20029 
10 7 5 187 20029 
10 7 20 186 20029 
10 7 35 187 20029 
10 7 50 186 20029 
10 8 5 187 20029 
10 8 20 186 20029 
10 8 35 187 20029 
10 8 50 186 20029 
10 9 5 187 20029 
10 9 20 186 20029 
10 9 35 187 20029 
10 9 50 186 20029 
10 10 5 187 20029 
10 10 20 186 20029 
10 10 35 187 20029 
10 10 50 186 20029 
10 11 5 187 20029 
10 11 20 186 20029 
10 11 35 187 20029 
10 11 50 186 20029 
10 12 5 187 20029 
10 12 20 187 20029 
10 12 35 186 20029 
10 12 50 187 20029 
10 13 5 186 20029 
10 13 20 187 20029 
10 13 35 186 20029 
10 13 50 187 20029 
10 14 5 186 20029 
10 14 20 187 20029 
10 14 59 187 20029 
10 15 14 186 20029 
10 15 29 187 20029 
10 15 44 186 20029 
10 15 59 187 20029 
10 16 14 186 20029 
10 16 29 187 20029 
10 16 44 186 20029 
10 16 59 187 20029 
10 17 14 186 20029 
10 17 29 187 20029 
10 17 44 186 20029 
10 17 59 187 20029 
10 18 14 186 20029 
10 18 29 187 20029 
10 18 44 186 20029 
10 18 59 187 20029 
10 19 14 186 20029 
10 19 29 187 20029 
10 19 44 186 20029 
10 19 59 187 20029 
10 20 14 186 20029 
10 20 29 187 20029 
10 20 44 186 20029 
10 20 59 187 20029 
10 21 14 186 20029 
10 21 29 187 20029 
10 21 44 186 20029 
10 21 59 187 20029 
10 22 14 186 20029 
10 22 29 187 20029 
10 22 44 186 20029 
10 22 59 187 20029 
10 23 15 187 20029 
10 23 29 186 20029 
10 23 45 187 20029 
10 23 59 186 20029 
10 24 15 187 20029 
10 24 29 186 20029 
10 24 45 187 20029 
10 24 59 186 20029 
10 25 15 187 20029 
10 25 29 186 20029 
10 25 45 187 20029 
10 26 0 186 20029 
10 26 15 187 20029 
10 26 30 186 20029 
10 26 45 187 20029 
10 27 0 186 20029 
10 27 15 187 20029 
10 27 30 186 20029 
10 27 45 187 20029 
10 28 0 186 20029 
10 28 15 187 20029 
10 28 30 186 20029 
10 28 45 187 20029 
10 29 0 186 20029 
10 29 15 187 20029 
10 29 30 186 20029 
10 30 9 187 20029 
10 30 24 186 20029 
10 30 39 186 20029 
10 30 54 187 20029 
10 31 9 186 20029 
10 31 24 187 20029 
10 31 39 186 20029 
10 31 54 187 20029 
10 32 9 186 20029 
10 32 24 187 20029 
10 32 39 186 20029 
10 32 54 187 20029 
10 33 9 186 20029 
10 33 24 187 20029 
10 33 39 186 20029 
10 33 54 187 20029 
10 34 9 187 20029 
10 34 24 186 20029 
10 34 39 187 20029 
10 34 54 186 20029 
10 35 9 187 20029 
10 35 24 186 20029 
10 35 39 187 20029 
10 35 54 186 20029 
10 36 9 187 20029 
10 36 24 186 20029 
10 36 39 187 20029 
10 36 54 186 20029 
10 37 9 187 20029 
10 37 24 186 20029 
10 37 39 187 20029 
10 37 54 186 20029 
10 38 9 187 20029 
10 38 24 186 20029 
10 38 39 187 20029 
10 38 54 186 20029 
10 39 9 187 20029 
10 39 24 186 20029 
10 39 39 187 20029 
10 39 54 186 20029 
10 40 9 187 20029 
10 40 24 186 20029 
10 40 39 187 20029 
