ls
ls
<CR>
         TIME          Size       File name 
8 35 36 13 9018 
8 35 51 12 9018 
8 36 6 13 9018 
8 36 21 12 9018 
8 36 36 13 9018 
8 36 51 12 9018 
8 37 6 13 9018 
8 37 21 12 9018 
8 37 36 13 9018 
8 37 51 12 9018 
8 38 6 13 9018 
8 38 21 12 9018 
8 38 36 13 9018 
8 38 51 12 9018 
8 39 6 13 9018 
8 39 21 12 9018 
8 39 36 13 9018 
8 39 51 12 9018 
8 40 6 13 9018 
8 40 21 12 8958 
8 40 36 13 9018 
8 40 51 12 9018 
8 41 6 13 9018 
8 41 21 12 9018 
8 41 36 13 9018 
8 41 51 12 9018 
8 42 6 13 9018 
8 42 21 12 9018 
8 42 36 13 9018 
8 42 51 12 9018 
8 43 6 13 9018 
8 43 21 12 9018 
8 43 36 13 9018 
8 43 51 12 9018 
8 44 6 13 9018 
8 44 21 12 9018 
8 44 36 13 9018 
8 44 51 12 9018 
8 45 6 13 9018 
8 45 21 12 9018 
8 45 36 13 9018 
8 45 51 12 9018 
8 46 6 13 9018 
8 46 21 12 9018 
8 46 36 13 9018 
8 46 51 12 9018 
8 47 6 13 9018 
8 49 37 13 9018 
8 49 52 12 9018 
8 50 7 13 9018 
8 50 22 12 9018 
8 50 37 13 9018 
8 50 52 12 9018 
8 51 7 13 9018 
8 51 22 12 9018 
8 51 37 13 9018 
8 51 52 12 9018 
8 52 7 13 9018 
8 52 22 12 9018 
8 52 37 13 9018 
8 52 52 12 9018 
8 53 7 13 9018 
8 53 22 12 9018 
8 53 37 13 9018 
8 53 52 12 9018 
8 54 7 13 9018 
8 54 22 12 9018 
8 54 37 13 9018 
8 54 52 12 9018 
8 55 7 13 9018 
8 55 22 12 9018 
8 55 37 13 9018 
8 55 52 12 9018 
8 56 7 13 9018 
8 56 22 12 9018 
8 56 37 13 9018 
8 56 52 12 9018 
8 57 7 13 9018 
8 57 22 12 9018 
8 57 37 13 9018 
8 57 52 12 9018 
8 58 7 13 9018 
8 58 22 12 9018 
8 58 37 13 9018 
8 58 52 12 9018 
8 59 7 13 9018 
8 59 22 12 9018 
8 59 37 13 9018 
8 59 52 12 9018 
9 0 7 13 9018 
9 0 22 12 9018 
9 0 37 13 9018 
9 0 52 12 9018 
9 1 7 13 9018 
9 1 22 12 9018 
9 1 37 13 9018 
9 1 52 12 9018 
9 2 7 13 9018 
9 2 22 12 9018 
9 2 37 13 9018 
9 2 52 12 9018 
9 3 7 13 9018 
9 3 22 12 9018 
9 3 37 13 9018 
9 3 52 12 9018 
9 4 7 13 9018 
9 6 37 13 9018 
9 6 52 12 9018 
9 7 7 13 9018 
9 7 22 12 9018 
9 7 37 13 9018 
9 7 52 12 9018 
9 8 7 13 9018 
9 8 22 12 9018 
9 8 37 13 9018 
9 8 52 12 9018 
9 9 7 13 9018 
9 9 22 12 9018 
9 9 37 13 9018 
9 9 52 12 9018 
9 10 7 13 9018 
9 10 22 12 9018 
9 10 37 13 9018 
9 10 52 12 9018 
9 11 7 13 9018 
9 11 22 12 9018 
9 11 37 13 9018 
9 11 52 12 9018 
9 12 7 13 9018 
9 12 22 12 9018 
9 12 37 13 9018 
9 12 52 12 9018 
9 13 7 13 9018 
9 13 22 12 9018 
9 13 37 13 9018 
9 13 52 12 9018 
9 14 7 13 9018 
9 14 22 12 9018 
9 14 37 13 9018 
9 14 52 12 9018 
9 15 7 13 9018 
9 15 22 12 9018 
9 15 37 13 9018 
9 15 52 12 9018 
9 16 7 13 9018 
9 16 22 12 9018 
9 16 37 13 9018 
9 16 52 12 9018 
9 17 7 13 9018 
9 17 22 12 9018 
9 17 37 13 9018 
9 17 52 12 9018 
9 18 7 13 9018 
9 18 22 12 9018 
9 18 37 13 9018 
9 18 52 12 9018 
9 19 7 13 9018 
9 19 22 12 9018 
9 19 37 13 9018 
9 19 52 12 9018 
9 20 7 13 9018 
9 20 22 12 9018 
9 20 37 13 9018 
9 20 52 12 9018 
9 21 7 13 9018 
9 23 37 13 9018 
9 23 52 12 9018 
9 24 7 13 9018 
9 24 22 12 9018 
9 24 37 13 9018 
9 24 52 12 9018 
9 25 7 13 9018 
9 25 22 12 9018 
9 25 37 13 9018 
9 25 52 12 9018 
9 26 7 13 9018 
9 26 22 12 9018 
9 26 37 13 9018 
9 26 52 12 9018 
9 27 7 13 9018 
9 27 22 12 9018 
9 27 37 13 9018 
9 27 52 12 9018 
9 28 7 13 9018 
9 28 22 12 9018 
9 28 37 13 9018 
9 28 52 12 9018 
9 29 7 13 9018 
9 29 22 12 9018 
9 29 37 13 9018 
9 29 52 12 9018 
9 30 7 13 9018 
9 30 22 12 9018 
9 30 37 13 9018 
9 30 52 12 9018 
9 31 7 13 9018 
9 31 22 12 9018 
9 31 37 13 9018 
9 31 52 12 9018 
9 32 7 13 9018 
9 32 22 12 9018 
9 32 37 13 9018 
9 32 52 12 9018 
9 33 7 13 9018 
9 33 22 12 9018 
9 33 37 13 9018 
9 33 52 12 9018 
9 34 7 13 9018 
9 34 22 12 9018 
9 34 37 13 9018 
9 34 52 12 9018 
9 35 7 13 9018 
9 35 22 12 9018 
9 35 37 13 9018 
9 35 52 12 9018 
9 36 7 13 9018 
9 36 22 12 9018 
9 36 37 13 9018 
9 36 52 12 9018 
9 37 7 13 9018 
9 37 22 12 9018 
9 37 37 13 9018 
9 37 52 12 9018 
9 38 7 13 9018 
9 40 39 13 9018 
9 40 53 12 9018 
9 41 9 13 9018 
9 41 23 12 9018 
9 41 38 13 9018 
9 41 53 12 9018 
9 42 8 13 9018 
9 42 23 12 9018 
9 42 38 13 9018 
9 42 53 12 9018 
9 43 8 13 9018 
9 43 23 12 9018 
9 43 38 13 9018 
9 43 53 12 9018 
9 44 8 13 9018 
9 44 23 12 9018 
9 44 38 13 9018 
9 44 53 12 8958 
9 45 8 13 9018 
9 45 23 12 9018 
9 45 38 13 9018 
9 45 53 12 9018 
9 46 8 13 9018 
9 46 23 12 9018 
9 46 38 13 9018 
9 46 53 12 9018 
9 47 8 13 9018 
9 47 23 12 9018 
9 47 38 13 8958 
9 47 53 12 9018 
9 48 8 13 9018 
9 48 23 12 9018 
9 48 38 13 9018 
9 48 53 12 9018 
9 49 8 13 8958 
9 49 23 12 9018 
9 49 38 13 9018 
9 49 53 12 9018 
9 50 8 13 9018 
9 50 23 12 9018 
9 50 38 13 9018 
9 50 53 12 8958 
9 51 8 13 9018 
9 51 23 12 9018 
9 51 38 13 9018 
9 51 53 12 9018 
9 52 8 13 8958 
9 52 23 12 8958 
9 52 38 13 9018 
9 52 53 12 9018 
9 53 8 13 9018 
9 53 23 12 9018 
9 53 38 13 8958 
9 53 53 12 9018 
9 54 8 13 9018 
9 54 23 12 9018 
9 54 38 13 9018 
9 54 53 12 9018 
9 55 8 13 9018 
9 57 38 13 9018 
9 57 53 12 9018 
9 58 8 13 9018 
9 58 23 12 9018 
9 58 38 13 9018 
9 58 53 12 9018 
9 59 8 13 9018 
9 59 23 12 9018 
9 59 38 13 9018 
9 59 53 12 9018 
10 0 8 13 9018 
10 0 23 12 9018 
10 0 38 13 9018 
10 0 53 12 9018 
10 1 8 13 9018 
10 1 23 12 9018 
10 1 38 13 9018 
10 1 53 12 9018 
10 2 8 13 9018 
10 2 23 12 9018 
10 2 38 13 9018 
10 2 53 12 9018 
10 3 8 13 9018 
10 3 23 12 9018 
10 3 38 13 9018 
10 3 53 12 9018 
10 4 8 13 9018 
10 4 23 12 9018 
10 4 38 13 9018 
10 4 53 12 9018 
10 5 8 13 9018 
10 5 23 12 9018 
10 5 38 13 9018 
10 5 53 12 9018 
10 6 8 13 9018 
10 6 23 12 9018 
10 6 38 13 9018 
10 6 53 12 9018 
10 7 8 13 9018 
10 7 23 12 9018 
10 7 38 13 9018 
10 7 53 12 9018 
10 8 8 13 9018 
10 8 23 12 9018 
10 8 38 13 9018 
10 8 53 12 9018 
10 9 8 13 9018 
10 9 23 12 9018 
10 9 38 13 9018 
10 9 53 12 9018 
10 10 8 13 9018 
10 10 23 12 8958 
10 10 38 13 9018 
10 10 53 12 9018 
10 11 8 13 9018 
10 11 23 12 9018 
10 11 38 13 9018 
10 11 53 12 9018 
10 12 8 13 9018 
10 14 40 13 9018 
10 14 54 12 9018 
10 15 10 13 9018 
10 15 24 12 9018 
10 15 40 13 9018 
10 15 54 12 9018 
10 16 10 13 9018 
10 16 24 12 9018 
10 16 40 13 9018 
10 16 54 12 9018 
10 17 10 13 9018 
10 17 24 12 9018 
10 17 40 13 9018 
10 17 54 12 9018 
10 18 10 13 9018 
10 18 24 12 9018 
10 18 40 13 9018 
10 18 54 12 9018 
10 19 10 13 9018 
10 19 24 12 9018 
10 19 40 13 9018 
10 19 54 12 9018 
10 20 10 13 9018 
10 20 24 12 9018 
10 20 40 13 9018 
10 20 54 12 9018 
10 21 10 13 9018 
10 21 24 12 9018 
10 21 40 13 9018 
10 21 54 12 9018 
10 22 10 13 9018 
10 22 24 12 9018 
10 22 40 13 9018 
10 22 54 12 9018 
10 23 10 13 9018 
10 23 24 12 9018 

/> 
